# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
tenthdeg||Tenth Degree (prototype)|Fighter / Versus|Atari Games|1998||
term2||Terminator 2 - Judgment Day (rev LA4 08/03/92)|Shooter / Gun|Midway|1991|term2|term2
term2la1|term2|Terminator 2 - Judgment Day (rev LA1 11/01/91)|Shooter / Gun|Midway|1991|term2|term2
term2la2|term2|Terminator 2 - Judgment Day (rev LA2 12/09/91)|Shooter / Gun|Midway|1991|term2|term2
terracre||Terra Cresta (YM3526 set 1)|Shooter / Flying Vertical|Nichibutsu|1985|terracre|terracre
terraf||Terra Force|Shooter / Misc. Horizontal|Nichibutsu|1987|terraf|terraf
terrafu|terraf|Terra Force (US)|Shooter / Misc. Horizontal|Nichibutsu USA|1987|terraf|terraf
tetris||Tetris (set 4, Japan, System 16A, FD1094 317-0093)|Puzzle / Drop|Sega|1988|tetris|tetris
tetris1|tetris|Tetris (set 1, Japan, System 16B, FD1094 317-0091)|Puzzle / Drop|Sega|1988|tetris|tetris
tetris2|tetris|Tetris (set 2, Japan, System 16B, FD1094 317-0092)|Puzzle / Drop|Sega|1988|tetris|tetris
tetris3|tetris|Tetris (set 3, Japan, System 16A, FD1094 317-0093a)|Puzzle / Drop|Sega|1988|tetris|tetris
tetrisbl|tetris|Tetris (bootleg)|Puzzle / Drop|bootleg|1988|tetris|tetris
tetrisp||Tetris Plus|Puzzle / Drop|Jaleco / BPS|1995|tetrisp|tetrisp
tetrisp2||Tetris Plus 2 (World)|Puzzle / Drop|Jaleco / The Tetris Company|1997|tetrisp2|tetrisp2
tetrisse||Tetris (Japan, System E)||Sega|1988||
tetrist|tetris|Tetris (Japan, B-System, YM2610)|Puzzle / Drop|Sega|1989|tetris|tetris
tetrista|tetris|Tetris (Japan, B-System, YM2203)|Puzzle / Drop|Sega|1989|tetris|tetris
tetrsark||Tetris (D.R. Korea)||D.R. Korea|1969||
tfrceac||ThunderForce AC|Shooter / Flying Horizontal|Sega / Technosoft|1990|tfrceac|tfrceac
tfrceacb|tfrceac|ThunderForce AC (bootleg)|Shooter / Flying Horizontal|bootleg|1990|tfrceac|tfrceac
tfrceacj|tfrceac|ThunderForce AC (Japan)|Shooter / Flying Horizontal|Sega / Technosoft|1990|tfrceac|tfrceac
tgmj||Tetris The Grand Master (Japan 980710)|Puzzle / Drop|Arika / Capcom|1998|tgmj|tgmj
tgtball||Target Ball (Nude)|Sports / Pool|Yun Sung|1995|tgtball|tgtball
tgtballa|tgtball|Target Ball|Sports / Pool|Yun Sung|1995|tgtball|tgtball
tharrier||Task Force Harrier|Shooter / Flying Vertical|UPL (American Sammy license)|1989|tharrier|tharrier
thedeep||The Deep (Japan)|Shooter / Gallery|Wood Place Inc.|1987|thedeep|thedeep
theend||The End|Shooter / Gallery|Konami|1980|theend|theend
theends|theend|The End (Stern Electronics)|Shooter / Gallery|Konami (Stern Electronics license)|1980|theend|theend
theglad||The Gladiator - Road of the Sword / Shen Jian (M68k label V100) (ARM label V100, ROM 01/16/03 SHEN JIAN)||IGS|2003||
theglob|suprglob|The Glob|Platform / Run Jump|Epos Corporation|1983|suprglob|suprglob
theglob2|suprglob|The Glob (earlier)|Platform / Run Jump|Epos Corporation|1983|suprglob|suprglob
theglob3|suprglob|The Glob (set 3)|Platform / Run Jump|Epos Corporation|1983|suprglob|suprglob
theglobp|suprglob|The Glob (Pac-Man hardware)|Platform / Run Jump|Epos Corporation|1983|suprglob|suprglob
thegrid||The Grid (version 1.2)|Unplayable|Midway|2001|thegrid|thegrid
thehand||The Hand|Maze|T.I.C.|1981|thehand|thehand
thehustl|rackemup|The Hustler (Japan, program code M)|Sports / Pool|Konami|1987|thehustl|thehustl
themj||The Mah-jong (Japan)|Tabletop / Mahjong|Visco|1987|themj|themj
thepit||The Pit|Maze / Digging|Zilec Electronics|1982|thepit|thepit
thetogyu|bullfgt|The Togyu (315-5065, Japan)|Sports / Bull Fighting|Coreland / Sega|1984|bullfgt|bullfgt
thief||Thief|Maze|Pacific Novelty|1981|thief|thief
thndblst|lethalth|Thunder Blaster (Japan)|Shooter / Flying Vertical|Irem|1991|lethalth|lethalth
thndrbld||Thunder Blade (upright, FD1094 317-0056)|Shooter / Flying|Sega|1987|thndrbld|thndrbld
thndrx2||Thunder Cross II (World)|Shooter / Flying Horizontal|Konami|1991|thndrx2|thndrx2
thndrx2a|thndrx2|Thunder Cross II (Asia)|Shooter / Flying Horizontal|Konami|1991|thndrx2|thndrx2
thndzone||Thunder Zone (World, Rev 1)|Shooter / Walking|Data East Corporation|1991|thndzone|thndzone
thoop||Thunder Hoop (Ver. 1)|Unplayable|Gaelco|1992|thoop|thoop
thoop2||TH Strikes Back|Platform / Shooter Scrolling|Gaelco|1994|thoop2|thoop2
thrilld||Thrill Drive (JAE)|Unplayable|Konami|1998||thrilld
thunderh||Operation Thunder Hurricane (ver EAA)||Konami|1996||
thunderj||ThunderJaws|Shooter / Misc. Horizontal|Atari Games|1990|thunderj|thunderj
thunderl||Thunder & Lightning|Breakout|Seta|1990|thunderl|thunderl
thunderx||Thunder Cross (set 1)|Shooter / Flying Horizontal|Konami|1988|thunderx|thunderx
thundfox||Thunder Fox (World)|Platform / Fighter Scrolling|Taito Corporation Japan|1990|thundfox|thundfox
thunt|sandor|Puzzle & Action: Treasure Hunt (JUET 970901 V2.00E)|Unplayable|Sega|1997|sandor|sandor
tickee||Tickee Tickats|Shooter / Gun|Raster Elite|1994|tickee|tickee
tictac||Tic Tac Trivia (Horizontal)|Unplayable|Merit|1985||tictac
tigerh||Tiger Heli (US)|Shooter / Flying Vertical|Toaplan / Taito America Corp.|1985|tigerh|tigerh
tigerhb1|tigerh|Tiger Heli (bootleg set 1)|Shooter / Flying Vertical|bootleg|1985|tigerh|tigerh
tigerhb2|tigerh|Tiger Heli (bootleg set 2)|Shooter / Flying Vertical|bootleg|1985|tigerh|tigerh
tigerhj|tigerh|Tiger Heli (Japan)|Shooter / Flying Vertical|Toaplan / Taito|1985|tigerh|tigerh
tigeroad||Tiger Road (US)|Platform / Fighter Scrolling|Capcom (Romstar license)|1987|tigeroad|tigeroad
timber||Timber|Misc.|Bally Midway|1984|timber|timber
timecris||Time Crisis (Rev. TS2 Ver.B)|Shooter / Gun|Namco|1995|timecris|timecris
timecrs2||Time Crisis II (TSS3 Ver. B)|Unplayable|Namco|1997||
timekill||Time Killers (v1.32)|Fighter / Versus|Strata/Incredible Technologies|1992|timekill|timekill
timelimt||Time Limit|Platform / Shooter|Chuo Co. Ltd|1983|timelimt|timelimt
timeplt||Time Pilot|Shooter / Field|Konami|1982|timeplt|timeplt
timeplta|timeplt|Time Pilot (Atari)|Shooter / Field|Konami (Atari license)|1982|timeplt|timeplt
timepltc|timeplt|Time Pilot (Centuri)|Shooter / Field|Konami (Centuri license)|1982|timeplt|timeplt
timescan||Time Scanner (set 2, System 16B)|Pinball|Sega|1987||
timesold||Time Soldiers (US Rev 3)|Shooter / Walking|Alpha Denshi Co. (SNK/Romstar license)|1987|timesold|timesold
timetunl||Time Tunnel|Maze|Taito Corporation|1982|timetunl|timetunl
tinklpit||Tinkle Pit (Japan)|Maze|Namco|1993|tinklpit|tinklpit
tinstar||The Tin Star (set 1)|Shooter / Gallery|Taito Corporation|1983|tinstar|tinstar
tinv2650|sia2650|The Invaders|Shooter / Gallery|Zaccaria / Zelco|1978|sia2650|sia2650
tiptop|congo|Tip Top (3 board stack)|Platform / Run Jump|Sega|1983|congo|congo
titlef||Title Fight (World)|Sports / Boxing|Sega|1992|titlef|titlef
titlefu|titlef|Title Fight (US)|Sports / Boxing|Sega|1992|titlef|titlef
tkdensho||Toukidenshou - Angel Eyes (VER. 960614)|Unplayable|Tecmo|1996|tkdensho|tkdensho
tkmmpzdm||Tokimeki Memorial Taisen Puzzle-dama (ver JAB)|Puzzle / Drop|Konami|1995|tkmmpzdm|tkmmpzdm
tknight|wildfang|Tecmo Knight|Platform / Fighter Scrolling|Tecmo|1989|wildfang|wildfang
tkoboxng||Vs. T.K.O. Boxing|Sports / Boxing|Namco / Data East USA|1987|tkoboxng|tkoboxng
tmek||T-MEK (v5.1, The Warlords)|Fighter / Versus|Atari Games|1994|tmek|tmek
tmht|tmnt|Teenage Mutant Hero Turtles (UK 4 Players, set 1)|Fighter / 2.5D|Konami|1989|tmnt|tmnt
tmht2p|tmnt|Teenage Mutant Hero Turtles (UK 2 Players, set 1)|Fighter / 2.5D|Konami|1989|tmnt|tmnt
tmmjprd||Tokimeki Mahjong Paradise - Dear My Love|Tabletop / Mahjong|Media / Sonnet|1997|tmmjprd|tmmjprd
tmnt||Teenage Mutant Ninja Turtles (World 4 Players)|Fighter / 2.5D|Konami|1989|tmnt|tmnt
tmnt2||Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA)|Fighter / 2.5D|Konami|1991|tmnt2|tmnt2
tmnt2a|tmnt2|Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver ADA)|Fighter / 2.5D|Konami|1991|tmnt2|tmnt2
tmnt2pj|tmnt|Teenage Mutant Ninja Turtles (Japan 2 Players)|Fighter / 2.5D|Konami|1990|tmnt|tmnt
tmnt2po|tmnt|Teenage Mutant Ninja Turtles (Oceania 2 Players)|Fighter / 2.5D|Konami|1989|tmnt|tmnt
tmntj|tmnt|Teenage Mutant Ninja Turtles (Japan 4 Players)|Fighter / 2.5D|Konami|1990|tmnt|tmnt
tmntu|tmnt|Teenage Mutant Ninja Turtles (US 4 Players, set 1)|Fighter / 2.5D|Konami|1989|tmnt|tmnt
tmntua|tmnt|Teenage Mutant Ninja Turtles (US 4 Players, set 2)|Fighter / 2.5D|Konami|1989|tmnt|tmnt
tndrcade||Thundercade / Twin Formation|Shooter / Driving Vertical|Seta (Taito license)|1987|tndrcade|tndrcade
tnk3||T.N.K III (US)|Shooter / Driving Vertical|SNK|1985|tnk3|tnk3
tnk3j|tnk3|T.A.N.K (Japan)|Shooter / Driving Vertical|SNK|1985|tnk3|tnk3
tnzs||The NewZealand Story (World, new version) (newer PCB)|Platform / Run Jump Scrolling|Taito Corporation Japan|1988|tnzs|tnzs
tnzsj|tnzs|The NewZealand Story (Japan, new version) (newer PCB)|Platform / Run Jump Scrolling|Taito Corporation|1988|tnzs|tnzs
tnzso|tnzs|The NewZealand Story (World, old version) (older PCB)|Platform / Run Jump Scrolling|Taito Corporation Japan|1988|tnzs|tnzs
todruaga||The Tower of Druaga (New Ver.)|Maze|Namco|1984|todruaga|todruaga
toffy||Toffy|Maze / Digging|Midas|1993|toffy|toffy
toggle||Toggle (prototype)|Maze / Shooter Small|Bally/Sente|1985|toggle|toggle
toki||Toki (World, set 1)|Platform / Shooter Scrolling|TAD Corporation|1989|toki|toki
tokia|toki|Toki (World, set 2)|Platform / Shooter Scrolling|TAD Corporation|1989|toki|toki
tokib|toki|Toki (Datsu bootleg)|Platform / Shooter Scrolling|bootleg (Datsu)|1990|toki|toki
tokimbsj|tokyogal|Tokimeki Bishoujo [BET] (Japan)|Tabletop / Mahjong|Nichibutsu|1989|tokyogal|tokyogal
tokio||Tokio / Scramble Formation (newer)|Shooter / Flying Vertical|Taito Corporation|1986|tokio|tokio
tokiob|tokio|Tokio / Scramble Formation (bootleg)|Shooter / Flying Vertical|bootleg|1986|tokio|tokio
tokiou|tokio|Tokio / Scramble Formation (US)||Taito America Corporation (Romstar license)|1986|tokio|tokio
tokisens||Toki no Senshi - Chrono Soldier|Shooter / Walking|Sega|1987|tokisens|tokisens
tokiu|toki|Toki (US, set 1)|Platform / Shooter Scrolling|TAD Corporation (Fabtek license)|1989|toki|toki
tokkae||Taisen Tokkae-dama (ver JAA)|Puzzle|Konami|1996|tokkae|tokkae
tokyogal||Tokyo Gal Zukan (Japan)|Tabletop / Mahjong|Nichibutsu|1989|tokyogal|tokyogal
tomahawk||Tomahawk 777 (rev 5)|Shooter / Gallery|Data East|1980|tomahawk|tomahawk
tondemo||Tondemo Crisis (Japan)|Mini-Games|Tecmo|1999|tondemo|tondemo
tontonb||Tonton [BET] (Japan set 1)|Tabletop / Mahjong|Dynax|1987|tontonb|tontonb
toobin||Toobin' (rev 3)|Sports / Swimming|Atari Games|1988|toobin|toobin
toobin1|toobin|Toobin' (rev 1)|Sports / Swimming|Atari Games|1988|toobin|toobin
toobin2|toobin|Toobin' (rev 2)|Sports / Swimming|Atari Games|1988|toobin|toobin
toobin2e|toobin|Toobin' (Europe, rev 2)|Sports / Swimming|Atari Games|1988|toobin|toobin
toobine|toobin|Toobin' (Europe, rev 3)|Sports / Swimming|Atari Games|1988|toobin|toobin
toobing|toobin|Toobin' (German, rev 3)|Sports / Swimming|Atari Games|1988|toobin|toobin
